,user_id,ISBN,rating,title,author,Image,publisher,number of ratings
80686,4017,375406530,10,Waiting,Ha Jin,http://images.amazon.com/images/P/0375406530.01.LZZZZZZZ.jpg,Pantheon Books,33
80719,4017,375411550,10,The Bluest Eye,Toni Morrison,http://images.amazon.com/images/P/0375411550.01.LZZZZZZZ.jpg,Knopf,52
80796,4017,375500510,10,Black and Blue : A Novel,ANNA QUINDLEN,http://images.amazon.com/images/P/0375500510.01.LZZZZZZZ.jpg,Random House,46
81023,4017,375707972,10,The Reader,Bernhard Schlink,http://images.amazon.com/images/P/0375707972.01.LZZZZZZZ.jpg,Vintage Books USA,140
81254,4017,380730138,9,Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay,http://images.amazon.com/images/P/0380730138.01.LZZZZZZZ.jpg,Perennial,104
81382,4017,380820145,9,Friendship Cake,J. Lynne Hinton,http://images.amazon.com/images/P/0380820145.01.LZZZZZZZ.jpg,Harpertorch,22
81428,4017,385318782,8,Talk Before Sleep,Elizabeth Berg,http://images.amazon.com/images/P/0385318782.01.LZZZZZZZ.jpg,Dell,20
81448,4017,385319207,10,One True Thing,Anna Quindlen,http://images.amazon.com/images/P/0385319207.01.LZZZZZZZ.jpg,Delta Trade Paperbacks,103
81553,4017,038533334X,10,Charming Billy,Alice McDermott,http://images.amazon.com/images/P/038533334X.01.LZZZZZZZ.jpg,Delta,50
81797,4017,446677450,10,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,http://images.amazon.com/images/P/0446677450.01.LZZZZZZZ.jpg,Warner Books,22
81852,4017,452260116,9,Song of Solomon (Oprah's Book Club (Paperback)),Toni Morrison,http://images.amazon.com/images/P/0452260116.01.LZZZZZZZ.jpg,Plume Books,56
81908,4017,452264790,5,Tar Baby,Toni Morrison,http://images.amazon.com/images/P/0452264790.01.LZZZZZZZ.jpg,Plume Books,22
81949,4017,452282829,10,We Were the Mulvaneys,Joyce Carol Oates,http://images.amazon.com/images/P/0452282829.01.LZZZZZZZ.jpg,Plume,120
82443,4017,670892963,8,Bridget Jones : The Edge of Reason,Helen Fielding,http://images.amazon.com/images/P/0670892963.01.LZZZZZZZ.jpg,Viking Books,53
82496,4017,671038184,10,Jewel,Bret Lott,http://images.amazon.com/images/P/0671038184.01.LZZZZZZZ.jpg,Washington Square Press,78
82585,4017,679411267,10,The End of the Pier,Martha Grimes,http://images.amazon.com/images/P/0679411267.01.LZZZZZZZ.jpg,Random House Inc,22
82693,4017,679774025,8,All over but the Shoutin',Rick Bragg,http://images.amazon.com/images/P/0679774025.01.LZZZZZZZ.jpg,Vintage Books USA,22
82715,4017,068480087X,10,POSTCARDS,Annie Proulx,http://images.amazon.com/images/P/068480087X.01.LZZZZZZZ.jpg,Scribner,23
82738,4017,068484267X,10,Angela's Ashes: A Memoir,Frank McCourt,http://images.amazon.com/images/P/068484267X.01.LZZZZZZZ.jpg,Scribner,83
82829,4017,068484477X,5,STONES FROM THE RIVER,Ursula Hegi,http://images.amazon.com/images/P/068484477X.01.LZZZZZZZ.jpg,Touchstone,137
82987,4017,688177859,7,"Ahab's Wife: Or, The Star-Gazer: A Novel",Sena Jeter Naslund,http://images.amazon.com/images/P/0688177859.01.LZZZZZZZ.jpg,Perennial,47
83130,4017,743411358,10,True to Form : A Novel,Elizabeth Berg,http://images.amazon.com/images/P/0743411358.01.LZZZZZZZ.jpg,Washington Square Press,28
83393,4017,1558746161,10,Chicken Soup for the Teenage Soul II (Chicken Soup for the Soul Series),Jack Canfield,http://images.amazon.com/images/P/1558746161.01.LZZZZZZZ.jpg,HCI Teens,20
84193,4385,446356859,10,Sunset Embrace,Sandra Brown,http://images.amazon.com/images/P/0446356859.01.LZZZZZZZ.jpg,Warner Books,25
84218,4385,446356875,10,Another Dawn,Sandra Brown,http://images.amazon.com/images/P/0446356875.01.LZZZZZZZ.jpg,Warner Books,21
84323,4385,446364312,10,Tempest in Eden,Sandra Brown,http://images.amazon.com/images/P/0446364312.01.LZZZZZZZ.jpg,Warner Books,22
84345,4385,446600342,10,Where There's Smoke,Sandra Brown,http://images.amazon.com/images/P/0446600342.01.LZZZZZZZ.jpg,Warner Books,41
84427,4385,446603090,10,Bittersweet Rain,Sandra Brown,http://images.amazon.com/images/P/0446603090.01.LZZZZZZZ.jpg,Warner Books,25
84561,4385,553576011,10,Send No Flowers,SANDRA BROWN,http://images.amazon.com/images/P/0553576011.01.LZZZZZZZ.jpg,Bantam,21
84696,4385,1551667436,10,Strange Bedpersons,Jennifer Crusie,http://images.amazon.com/images/P/1551667436.01.LZZZZZZZ.jpg,Mira,27
84737,6242,60975547,5,Love Medicine,Louise Erdrich,http://images.amazon.com/images/P/0060975547.01.LZZZZZZZ.jpg,Perennial,22
84911,6242,312195516,7,The Red Tent (Bestselling Backlist),Anita Diamant,http://images.amazon.com/images/P/0312195516.01.LZZZZZZZ.jpg,Picador USA,171
85095,6242,312243022,8,The Hours : A Novel,Michael Cunningham,http://images.amazon.com/images/P/0312243022.01.LZZZZZZZ.jpg,Picador,60
85161,6242,312282990,6,The Amazing Adventures of Kavalier &amp; Clay,Michael Chabon,http://images.amazon.com/images/P/0312282990.01.LZZZZZZZ.jpg,Picador,50
85252,6242,375705198,6,Amy and Isabelle : A novel,ELIZABETH STROUT,http://images.amazon.com/images/P/0375705198.01.LZZZZZZZ.jpg,Vintage,41
85378,6242,039592720X,5,Interpreter of Maladies,Jhumpa Lahiri,http://images.amazon.com/images/P/039592720X.01.LZZZZZZZ.jpg,Houghton Mifflin Co,25
85403,6242,446670251,5,The Virgin Suicides,Jeffrey Eugenides,http://images.amazon.com/images/P/0446670251.01.LZZZZZZZ.jpg,Warner Books,59
85515,6242,679455116,5,Chasing Cezanne,Peter Mayle,http://images.amazon.com/images/P/0679455116.01.LZZZZZZZ.jpg,Alfred A. Knopf,25
85540,6242,679724362,6,The Road from Coorain,Jill Ker Conway,http://images.amazon.com/images/P/0679724362.01.LZZZZZZZ.jpg,Vintage Books USA,25
85587,6242,679746048,5,"Girl, Interrupted",SUSANNA KAYSEN,http://images.amazon.com/images/P/0679746048.01.LZZZZZZZ.jpg,Vintage,81
85695,6242,684195488,7,Accordion Crimes,E. Annie Proulx,http://images.amazon.com/images/P/0684195488.01.LZZZZZZZ.jpg,Scribner,32
85727,6242,684800713,6,Sun Also Rises,Ernest Hemingway,http://images.amazon.com/images/P/0684800713.01.LZZZZZZZ.jpg,Scribner,28
85797,6242,747545634,7,The Map of Love,Ahdaf Soueif,http://images.amazon.com/images/P/0747545634.01.LZZZZZZZ.jpg,Trafalgar Square,23
85849,6242,871136791,8,Cold Mountain,Charles Frazier,http://images.amazon.com/images/P/0871136791.01.LZZZZZZZ.jpg,Atlantic Monthly Press,54
85944,6242,1573227331,6,About a Boy,Nick Hornby,http://images.amazon.com/images/P/1573227331.01.LZZZZZZZ.jpg,Riverhead Books,63
86007,6242,1573228214,6,High Fidelity,Nick Hornby,http://images.amazon.com/images/P/1573228214.01.LZZZZZZZ.jpg,Riverhead Books,62
86069,6242,1573229326,6,How to Be Good,Nick Hornby,http://images.amazon.com/images/P/1573229326.01.LZZZZZZZ.jpg,Riverhead Books,77
86274,6251,60171928,8,Mutant Message Down Under,Marlo Morgan,http://images.amazon.com/images/P/0060171928.01.LZZZZZZZ.jpg,Harpercollins,44
86367,6251,60256737,10,A Light in the Attic,Shel Silverstein,http://images.amazon.com/images/P/0060256737.01.LZZZZZZZ.jpg,HarperCollins,21
87354,6251,140257934,8,"These High, Green Hills (The Mitford Years)",Jan Karon,http://images.amazon.com/images/P/0140257934.01.LZZZZZZZ.jpg,Viking Books,38
87703,6251,015602943X,10,The Time Traveler's Wife (Harvest Book),Audrey Niffenegger,http://images.amazon.com/images/P/015602943X.01.LZZZZZZZ.jpg,Harvest Books,23
87938,6251,312950586,10,Every Living Thing,James Herriot,http://images.amazon.com/images/P/0312950586.01.LZZZZZZZ.jpg,St. Martin's Press,29
88010,6251,312980140,7,Seven Up (A Stephanie Plum Novel),Janet Evanovich,http://images.amazon.com/images/P/0312980140.01.LZZZZZZZ.jpg,St. Martin's Paperbacks,111
88375,6251,345392825,8,Reviving Ophelia: Saving the Selves of Adolescent Girls (Ballantine Reader's Circle),Mary Pipher,http://images.amazon.com/images/P/0345392825.01.LZZZZZZZ.jpg,Ballantine Books,40
89002,6251,375504613,7,A Short Guide to a Happy Life,ANNA QUINDLEN,http://images.amazon.com/images/P/0375504613.01.LZZZZZZZ.jpg,Random House,30
89442,6251,380813815,10,"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,http://images.amazon.com/images/P/0380813815.01.LZZZZZZZ.jpg,Perennial,67
90026,6251,039480001X,10,The Cat in the Hat,Dr. Seuss,http://images.amazon.com/images/P/039480001X.01.LZZZZZZZ.jpg,Random House Books for Young Readers,31
90455,6251,042519485X,8,Undead and Unwed (Berkley Sensation),Mary Janice Davidson,http://images.amazon.com/images/P/042519485X.01.LZZZZZZZ.jpg,Berkley Publishing Group,28
90904,6251,440487617,10,A Wind in the Door,Madeleine L'Engle,http://images.amazon.com/images/P/0440487617.01.LZZZZZZZ.jpg,Yearling Books,29
91145,6251,446532231,10,"Dude, Where's My Country?",Michael Moore,http://images.amazon.com/images/P/0446532231.01.LZZZZZZZ.jpg,Warner Books,56
91696,6251,449702766,10,Dicey's Song,Cynthia Voigt,http://images.amazon.com/images/P/0449702766.01.LZZZZZZZ.jpg,Fawcett Books,27
92024,6251,451821971,9,Leaving Home,Garrison Keillor,http://images.amazon.com/images/P/0451821971.01.LZZZZZZZ.jpg,New Amer Library,28
92251,6251,525934960,9,The Te of Piglet,Benjamin Hoff,http://images.amazon.com/images/P/0525934960.01.LZZZZZZZ.jpg,Dutton Books,27
92367,6251,553210092,7,The Scarlet Letter,NATHANIEL HAWTHORNE,http://images.amazon.com/images/P/0553210092.01.LZZZZZZZ.jpg,Bantam,44
92683,6251,553560247,7,Dying for Chocolate (Culinary Mysteries (Paperback)),DIANE MOTT DAVIDSON,http://images.amazon.com/images/P/0553560247.01.LZZZZZZZ.jpg,Bantam,62
93364,6251,671204971,10,TIME AND AGAIN,Jack Finney,http://images.amazon.com/images/P/0671204971.01.LZZZZZZZ.jpg,Simon &amp; Schuster,30
94058,6251,688149790,7,Babyhood,Paul Reiser,http://images.amazon.com/images/P/0688149790.01.LZZZZZZZ.jpg,William Morrow &amp; Company,32
95027,6251,836220986,10,The Far Side Observer,Gary Larson,http://images.amazon.com/images/P/0836220986.01.LZZZZZZZ.jpg,Andrews McMeel Publishing,21
95282,6251,1400032717,10,The Curious Incident of the Dog in the Night-Time (Vintage Contemporaries),Mark Haddon,http://images.amazon.com/images/P/1400032717.01.LZZZZZZZ.jpg,Vintage,20
96093,6323,380730820,5,Jupiter's Bones : A Peter Decker/Rina Lazarus Novel (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,http://images.amazon.com/images/P/0380730820.01.LZZZZZZZ.jpg,Avon,31
96596,6323,425163385,7,The Night Crew,John Sandford,http://images.amazon.com/images/P/0425163385.01.LZZZZZZZ.jpg,Berkley Publishing Group,42
96857,6323,446601241,8,Kiss the Girls,James Patterson,http://images.amazon.com/images/P/0446601241.01.LZZZZZZZ.jpg,Warner Books,116
97032,6323,446667900,7,A Darkness More Than Night,Michael Connelly,http://images.amazon.com/images/P/0446667900.01.LZZZZZZZ.jpg,Warner Vision,50
97370,6323,553092650,7,In the Presence of the Enemy,Elizabeth George,http://images.amazon.com/images/P/0553092650.01.LZZZZZZZ.jpg,Bantam,35
97424,6323,553102346,7,Deception on His Mind,Elizabeth George,http://images.amazon.com/images/P/0553102346.01.LZZZZZZZ.jpg,Bantam,41
97518,6323,553275100,5,The Butcher's Theater,Jonathan Kellerman,http://images.amazon.com/images/P/0553275100.01.LZZZZZZZ.jpg,Bantam Books,24
97823,6323,671011375,6,Death du Jour,Kathy Reichs,http://images.amazon.com/images/P/0671011375.01.LZZZZZZZ.jpg,Pocket,56
98217,6323,805036377,5,M Is for Malice (Kinsey Millhone Mysteries (Hardcover)),Sue Grafton,http://images.amazon.com/images/P/0805036377.01.LZZZZZZZ.jpg,Henry Holt &amp; Company,31
98248,6323,805056645,8,Are You Somebody? : The Accidental Memoir of a Dublin Woman,Nuala O'Faolain,http://images.amazon.com/images/P/0805056645.01.LZZZZZZZ.jpg,Owl Books,23
98437,6543,61031550,9,Triggerfish Twist,Tim Dorsey,http://images.amazon.com/images/P/0061031550.01.LZZZZZZZ.jpg,HarperTorch,21
98652,6543,140270590,7,A New Song (Mitford Years (Paperback)),Jan Karon,http://images.amazon.com/images/P/0140270590.01.LZZZZZZZ.jpg,Viking Books,33
98685,6543,140280553,6,"Galileo's Daughter: A Historical Memoir of Science, Faith, and Love",Dava Sobel,http://images.amazon.com/images/P/0140280553.01.LZZZZZZZ.jpg,Penguin Books,35
98926,6543,312289723,8,Ten Big Ones: A Stephanie Plum Novel,Janet Evanovich,http://images.amazon.com/images/P/0312289723.01.LZZZZZZZ.jpg,St. Martin's Press,29
98955,6543,312306326,6,Visions of Sugar Plums,Janet Evanovich,http://images.amazon.com/images/P/0312306326.01.LZZZZZZZ.jpg,St. Martin's Press,40
98995,6543,312313810,6,The Dirty Girls Social Club: A Novel,Alisa Valdes-Rodriguez,http://images.amazon.com/images/P/0312313810.01.LZZZZZZZ.jpg,St. Martin's Press,29
99437,6543,312979096,7,Now You See Me,Tina Wainscott,http://images.amazon.com/images/P/0312979096.01.LZZZZZZZ.jpg,St. Martin's Paperbacks,41
99796,6543,374100128,5,The Corrections (Oprah Edition),Jonathan Franzen,http://images.amazon.com/images/P/0374100128.01.LZZZZZZZ.jpg,Farrar Straus Giroux,30
99879,6543,375422412,7,Three Junes,Julia Glass,http://images.amazon.com/images/P/0375422412.01.LZZZZZZZ.jpg,Pantheon Books,84
99989,6543,375505296,7,The Dante Club : A Novel,Matthew Pearl,http://images.amazon.com/images/P/0375505296.01.LZZZZZZZ.jpg,Random House,26
100109,6543,380780860,6,Murder on a Girls' Night Out: A Southern Sisters Mystery,Anne George,http://images.amazon.com/images/P/0380780860.01.LZZZZZZZ.jpg,Avon,33
100171,6543,380784491,8,Murder Runs in the Family: A Southern Sisters Mystery,Anne George,http://images.amazon.com/images/P/0380784491.01.LZZZZZZZ.jpg,Avon,25
100249,6543,380978415,8,"Fluke : Or, I Know Why the Winged Whale Sings",Christopher Moore,http://images.amazon.com/images/P/0380978415.01.LZZZZZZZ.jpg,William Morrow &amp; Company,48
100600,6543,399149422,5,The Cat Who Brought Down the House,Lilian Jackson Braun,http://images.amazon.com/images/P/0399149422.01.LZZZZZZZ.jpg,Putnam Publishing Group,33
100710,6543,440212561,8,Outlander,DIANA GABALDON,http://images.amazon.com/images/P/0440212561.01.LZZZZZZZ.jpg,Dell,113
100871,6543,446610038,9,1st to Die: A Novel,James Patterson,http://images.amazon.com/images/P/0446610038.01.LZZZZZZZ.jpg,Warner Vision,162
101265,6543,451197399,7,The Ballad of Frankie Silver,Sharyn McCrumb,http://images.amazon.com/images/P/0451197399.01.LZZZZZZZ.jpg,Signet Book,34
101315,6543,451206002,6,Over the Edge: An Alex Delaware Novel (Alex Delaware Novels (Paperback)),Jonathan Kellerman,http://images.amazon.com/images/P/0451206002.01.LZZZZZZZ.jpg,Signet Book,23
101473,6543,553274503,8,Flowers for Algernon (Bantam Classic),DANIEL KEYES,http://images.amazon.com/images/P/0553274503.01.LZZZZZZZ.jpg,Bantam,39
101519,6543,553569619,7,When the Bough Breaks (Alex Delaware Novels (Paperback)),Jonathan Kellerman,http://images.amazon.com/images/P/0553569619.01.LZZZZZZZ.jpg,Bantam Books,26
102069,6543,743235150,8,Everything's Eventual : 14 Dark Tales,Stephen King,http://images.amazon.com/images/P/0743235150.01.LZZZZZZZ.jpg,Scribner,62
102231,6543,767905385,7,Catch Me If You Can: The True Story of a Real Fake,Stan Redding,http://images.amazon.com/images/P/0767905385.01.LZZZZZZZ.jpg,Broadway,44
102335,6543,802135161,6,Oranges Are Not the Only Fruit,Jeanette Winterson,http://images.amazon.com/images/P/0802135161.01.LZZZZZZZ.jpg,Grove Press,32
102513,6543,1400031346,6,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,http://images.amazon.com/images/P/1400031346.01.LZZZZZZZ.jpg,Anchor (UK),46
102617,6543,1841954608,6,Vernon God Little: A 21st Century Comedy in the Presence of Death,D. B. C. Pierre,http://images.amazon.com/images/P/1841954608.01.LZZZZZZZ.jpg,Canongate Books,23
102692,6563,60085444,6,She Went All the Way (Avon Light Contemporary Romances),Meggin Cabot,http://images.amazon.com/images/P/0060085444.01.LZZZZZZZ.jpg,Avon,43
102739,6563,60199652,8,Prodigal Summer,Barbara Kingsolver,http://images.amazon.com/images/P/0060199652.01.LZZZZZZZ.jpg,HarperCollins,57
102939,6563,61097101,10,The Saving Graces: A Novel,Patricia Gaffney,http://images.amazon.com/images/P/0061097101.01.LZZZZZZZ.jpg,HarperTorch,76
103453,6563,375412530,6,Back When We Were Grownups: A Novel,ANNE TYLER,http://images.amazon.com/images/P/0375412530.01.LZZZZZZZ.jpg,Knopf,29
103798,6563,385413041,8,Beach Music,PAT CONROY,http://images.amazon.com/images/P/0385413041.01.LZZZZZZZ.jpg,Nan A. Talese,79
104066,6563,425155722,8,The Fool's Run,John Sandford,http://images.amazon.com/images/P/0425155722.01.LZZZZZZZ.jpg,Berkley Publishing Group,31
104348,6563,446600474,7,Season of the Machete,James Patterson,http://images.amazon.com/images/P/0446600474.01.LZZZZZZZ.jpg,Warner Books,37
104451,6563,446613266,9,Four Blind Mice,James Patterson,http://images.amazon.com/images/P/0446613266.01.LZZZZZZZ.jpg,Warner Books,84
104535,6563,451188489,5,A Maiden's Grave,Jeff Deaver,http://images.amazon.com/images/P/0451188489.01.LZZZZZZZ.jpg,Signet Book,28
104716,6563,552998001,8,Blackberry Wine,Joanne Harris,http://images.amazon.com/images/P/0552998001.01.LZZZZZZZ.jpg,Black Swan,21
104904,6563,671693816,7,Wifey,Judy Blume,http://images.amazon.com/images/P/0671693816.01.LZZZZZZZ.jpg,Pocket,55
104959,6563,671727583,8,Smart Women,Judy Blume,http://images.amazon.com/images/P/0671727583.01.LZZZZZZZ.jpg,Pocket Books,51
105182,6563,804114609,10,Patty Jane's House of Curl,Lorna Landvik,http://images.amazon.com/images/P/0804114609.01.LZZZZZZZ.jpg,Ivy Books,40
105228,6563,812967240,7,It's My F---ing Birthday : A Novel,MERRILL MARKOE,http://images.amazon.com/images/P/0812967240.01.LZZZZZZZ.jpg,Villard,33
105557,6575,60929790,8,One Hundred Years of Solitude,Gabriel Garcia Marquez,http://images.amazon.com/images/P/0060929790.01.LZZZZZZZ.jpg,Perennial,44
106339,6575,312265867,9,To the Nines: A Stephanie Plum Novel,Janet Evanovich,http://images.amazon.com/images/P/0312265867.01.LZZZZZZZ.jpg,St. Martin's Press,63
106473,6575,312971362,6,Sis Boom Bah,Jane Heller,http://images.amazon.com/images/P/0312971362.01.LZZZZZZZ.jpg,St. Martin's Press,21
106584,6575,312986343,5,Visions of Sugar Plums: A Stephanie Plum Holiday Novel,Janet Evanovich,http://images.amazon.com/images/P/0312986343.01.LZZZZZZZ.jpg,St. Martin's Paperbacks,48
106632,6575,312989393,6,Queen Bee of Mimosa Branch,Haywood Smith,http://images.amazon.com/images/P/0312989393.01.LZZZZZZZ.jpg,St. Martin's Paperbacks,29
106661,6575,312990456,9,One for the Money (A Stephanie Plum Novel),Janet Evanovich,http://images.amazon.com/images/P/0312990456.01.LZZZZZZZ.jpg,St. Martin's Paperbacks,63
107198,6575,034536676X,7,The World According to Garp,John Irving,http://images.amazon.com/images/P/034536676X.01.LZZZZZZZ.jpg,Ballantine Books,42
107348,6575,345416260,8,Pope Joan (Ballantine Reader's Circle),Donna Woolfolk Cross,http://images.amazon.com/images/P/0345416260.01.LZZZZZZZ.jpg,Ballantine Books,38
107581,6575,374121230,6,Child of My Heart,Alice McDermott,http://images.amazon.com/images/P/0374121230.01.LZZZZZZZ.jpg,Farrar Straus &amp; Giroux,30
107906,6575,375760911,7,The Idiot Girls' Action Adventure Club,Laurie Notaro,http://images.amazon.com/images/P/0375760911.01.LZZZZZZZ.jpg,Villard Books,57
108089,6575,380730200,8,The Giant's House : A Romance,Elizabeth McCracken,http://images.amazon.com/images/P/0380730200.01.LZZZZZZZ.jpg,Perennial,20
108423,6575,385720106,7,A Map of the World,Jane Hamilton,http://images.amazon.com/images/P/0385720106.01.LZZZZZZZ.jpg,Anchor Books/Doubleday,119
108805,6575,440221099,7,Talk Before Sleep: A Novel,Elizabeth Berg,http://images.amazon.com/images/P/0440221099.01.LZZZZZZZ.jpg,Island,37
108997,6575,446600660,7,Strip Tease,Carl Hiaasen,http://images.amazon.com/images/P/0446600660.01.LZZZZZZZ.jpg,Warner Books,44
109041,6575,446603422,5,Stormy Weather,Carl Hiaasen,http://images.amazon.com/images/P/0446603422.01.LZZZZZZZ.jpg,Warner Books,38
109271,6575,449213447,9,The Chosen,Chaim Potok,http://images.amazon.com/images/P/0449213447.01.LZZZZZZZ.jpg,Fawcett Books,36
109363,6575,449221393,5,Driving Force,Dick Francis,http://images.amazon.com/images/P/0449221393.01.LZZZZZZZ.jpg,Fawcett Books,30
109521,6575,449908747,8,Barn Blind,Jane Smiley,http://images.amazon.com/images/P/0449908747.01.LZZZZZZZ.jpg,Ballantine Books,20
109723,6575,451163966,8,One Flew Over the Cuckoo's Nest,Ken Kesey,http://images.amazon.com/images/P/0451163966.01.LZZZZZZZ.jpg,Signet Book,36
109759,6575,451185560,6,Fear of Flying,Erica Jong,http://images.amazon.com/images/P/0451185560.01.LZZZZZZZ.jpg,Signet Book,24
110209,6575,517595753,8,Dave Barry in Cyberspace,Dave Barry,http://images.amazon.com/images/P/0517595753.01.LZZZZZZZ.jpg,Random House Inc,23
110375,6575,553289691,6,SKINNY LEGS AND ALL,TOM ROBBINS,http://images.amazon.com/images/P/0553289691.01.LZZZZZZZ.jpg,Bantam,22
110799,6575,671743058,7,Boy's Life,Robert McCammon,http://images.amazon.com/images/P/0671743058.01.LZZZZZZZ.jpg,Pocket,43
110926,6575,679442405,9,Traveling Mercies: Some Thoughts on Faith,Anne Lamott,http://images.amazon.com/images/P/0679442405.01.LZZZZZZZ.jpg,Random House Inc,34
111440,6575,688168248,7,The Book Borrower: A Novel,Alice Mattison,http://images.amazon.com/images/P/0688168248.01.LZZZZZZZ.jpg,Harpercollins,25
111467,6575,688177026,9,Best Friends,Mqp Creative,http://images.amazon.com/images/P/0688177026.01.LZZZZZZZ.jpg,HarperResource,20
112500,6575,1573223425,6,Blue Shoe,Anne Lamott,http://images.amazon.com/images/P/1573223425.01.LZZZZZZZ.jpg,Riverhead Books,29
112591,6575,1573229725,8,Fingersmith,Sarah Waters,http://images.amazon.com/images/P/1573229725.01.LZZZZZZZ.jpg,Riverhead Books,59
112680,6575,1885171080,6,"Girlfriends: Invisible Bonds, Enduring Ties",Carmen Renee Berry,http://images.amazon.com/images/P/1885171080.01.LZZZZZZZ.jpg,Wildcat Canyon Press,37
113299,7158,373218958,9,Less Of A Stranger (Silhouette Single Title),Nora Roberts,http://images.amazon.com/images/P/0373218958.01.LZZZZZZZ.jpg,Silhouette,25
114205,7158,440226104,7,Black and Blue,ANNA QUINDLEN,http://images.amazon.com/images/P/0440226104.01.LZZZZZZZ.jpg,Dell,97
114449,7158,446527793,10,The Guardian,Nicholas Sparks,http://images.amazon.com/images/P/0446527793.01.LZZZZZZZ.jpg,Warner Books,72
115075,7158,553582747,8,From the Corner of His Eye,Dean Koontz,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg,Bantam Books,71
115192,7158,553802488,8,The Face,DEAN KOONTZ,http://images.amazon.com/images/P/0553802488.01.LZZZZZZZ.jpg,Bantam,31
115350,7158,067100042X,6,Silent Night : A Christmas Suspense Story,Mary Higgins Clark,http://images.amazon.com/images/P/067100042X.01.LZZZZZZZ.jpg,Pocket,49
116281,7158,802134475,6,Rain,Kirsty Gunn,http://images.amazon.com/images/P/0802134475.01.LZZZZZZZ.jpg,Grove Press,34
116405,7158,843949783,10,Island,Richard Laymon,http://images.amazon.com/images/P/0843949783.01.LZZZZZZZ.jpg,Leisure Books,27
116468,7158,843951036,8,No Sanctuary,Richard Laymon,http://images.amazon.com/images/P/0843951036.01.LZZZZZZZ.jpg,Leisure Books,29
117667,7346,20198906,8,Joshua,Joseph F Girzone,http://images.amazon.com/images/P/0020198906.01.LZZZZZZZ.jpg,Macmillan,24
117951,7346,61099813,8,"When You Look Like Your Passport Photo, It's Time to Go Home",Erma Bombeck,http://images.amazon.com/images/P/0061099813.01.LZZZZZZZ.jpg,HarperTorch,22
118099,7346,140253602,8,Felicia's Journey,William Trevor,http://images.amazon.com/images/P/0140253602.01.LZZZZZZZ.jpg,Penguin Books,27
118135,7346,140386645,8,The Westing Game (Now in Speak!),Ellen Raskin,http://images.amazon.com/images/P/0140386645.01.LZZZZZZZ.jpg,Penguin Putnam Books for Young Readers,26
118161,7346,140430725,10,"Pride and Prejudice (The Penguin English Library, El 72)",Jane Austen,http://images.amazon.com/images/P/0140430725.01.LZZZZZZZ.jpg,Penguin Books,23
118304,7346,312201656,8,I Capture the Castle,Dodie Smith,http://images.amazon.com/images/P/0312201656.01.LZZZZZZZ.jpg,St. Martin's Griffin,66
118453,7346,312924585,9,Silence of the Lambs,Thomas Harris,http://images.amazon.com/images/P/0312924585.01.LZZZZZZZ.jpg,St. Martin's Press,113
118743,7346,034529873X,8,Moreta: Dragonlady of Pern,Anne McCaffrey,http://images.amazon.com/images/P/034529873X.01.LZZZZZZZ.jpg,Del Rey Books,36
118837,7346,345311078,8,Dragon on a Pedestal,Piers Anthony,http://images.amazon.com/images/P/0345311078.01.LZZZZZZZ.jpg,Del Rey Books,22
118896,7346,345316002,7,Killashandra,Anne McCaffrey,http://images.amazon.com/images/P/0345316002.01.LZZZZZZZ.jpg,Del Rey Books,21
118921,7346,345318862,7,Golem in the Gears (Xanth Novels (Paperback)),PIERS ANTHONY,http://images.amazon.com/images/P/0345318862.01.LZZZZZZZ.jpg,Del Rey,31
118958,7346,345327861,7,Crystal Singer,Anne McCaffrey,http://images.amazon.com/images/P/0345327861.01.LZZZZZZZ.jpg,Del Rey Books,21
119074,7346,345360354,7,Lovely in Her Bones,Sharyn McCrumb,http://images.amazon.com/images/P/0345360354.01.LZZZZZZZ.jpg,Ballantine Books,22
119429,7346,380001411,8,Christy,Catherine Marshall,http://images.amazon.com/images/P/0380001411.01.LZZZZZZZ.jpg,Avon,41
119499,7346,380603926,8,When Bad Things Happen to Good People,Harold S. Kushner,http://images.amazon.com/images/P/0380603926.01.LZZZZZZZ.jpg,Avon,25
119524,7346,380704587,8,The Ladies of Missalonghi,Colleen McCullough,http://images.amazon.com/images/P/0380704587.01.LZZZZZZZ.jpg,Avon,28
119675,7346,380731207,7,The Night of Four Hundred Rabbits,Elizabeth Peters,http://images.amazon.com/images/P/0380731207.01.LZZZZZZZ.jpg,Avon,20
119765,7346,380778556,9,Rebecca,Daphne Du Maurier,http://images.amazon.com/images/P/0380778556.01.LZZZZZZZ.jpg,Avon,68
120199,7346,399147195,8,P Is for Peril (Kinsey Millhone Mysteries (Hardcover)),Sue Grafton,http://images.amazon.com/images/P/0399147195.01.LZZZZZZZ.jpg,Putnam Publishing Group,42
120464,7346,425177173,8,Atlantis Found,Clive Cussler,http://images.amazon.com/images/P/0425177173.01.LZZZZZZZ.jpg,Berkley Publishing Group,40
